Station,Divisions,x,y,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime"
Miltown Malbay,Clare Division,+52.85745347,-9.40059569,126,97,1,1,138,339,13,88,9,269,257,37
Mitchelstown,Cork North Division,+52.26358765,-8.27057086,242,290,1,5,327,780,118,766,34,492,891,72
Moate,Westmeath Division,+53.39573586,-7.73452155,129,178,0,12,330,471,42,58,19,283,249,14
Mohill,Sligo/Leitrim Division,+53.92083474,-7.86807112,175,186,3,3,289,463,35,40,22,339,655,30
Monaghan,Cavan/Monaghan Division,+54.25136553,-6.96751983,1457,1706,4,17,559,2658,352,706,89,1749,3855,519
Monasterevin,Kildare Division,+53.13819654,-7.05471443,262,136,1,37,526,1077,59,131,24,483,287,20
Moneygall,Tipperary Division,+52.88129048,-7.95344086,16,52,0,1,76,80,2,7,1,28,48,2
Monivea,Galway Division,+53.37398548,-8.70232747,40,27,2,0,54,57,2,6,0,21,82,5
Mooncoin,Kilkenny/Carlow Division,+52.29197363,-7.25158259,62,68,0,4,132,208,12,40,8,127,120,14
Mountbellew,Galway Division,+53.47116054,-8.50010647,87,109,0,1,153,262,43,15,8,99,280,15
Mountcharles,Donegal Division,+54.64588823,-8.19567164,29,69,0,0,53,86,6,13,5,64,168,5
Mountjoy,D.M.R. North Central Division,+53.36048561,-6.26681775,1857,926,15,829,3763,11322,826,2124,517,5133,4864,1533
Mountmellick,Laois/Offaly Division,+53.11877966,-7.33514085,364,168,3,22,503,946,64,219,76,703,532,58
Mountrath,Laois/Offaly Division,+52.99815195,-7.47807086,209,150,2,17,520,599,39,57,18,363,184,31
Moville,Donegal Division,+55.19163155,-7.02857084,230,122,2,2,172,300,51,74,29,327,292,21
Moylough,Galway Division,+53.48769075,-8.56702281,27,39,0,0,56,98,18,3,1,22,30,7
Moyne,Tipperary Division,+52.73427035,-7.71410561,14,14,0,1,64,95,2,18,6,27,16,2
Muff,Donegal Division,+55.06858607,-7.26876362,115,131,2,17,160,348,55,29,14,198,174,4
Muine Bheag,Kilkenny/Carlow Division,+52.70130089,-6.95736401,343,178,1,12,697,957,60,134,39,770,618,26
Mullagh,Cavan/Monaghan Division,+53.81114218,-6.94318618,102,99,1,8,116,266,15,19,5,89,86,17
Mullinahone,Tipperary Division,+52.51015203,-7.50558182,37,30,0,3,116,105,7,42,6,51,116,2
Mullinavat,Kilkenny/Carlow Division,+52.36638150,-7.17214879,31,49,0,2,101,187,9,37,6,69,40,25
Mullingar,Westmeath Division,+53.52569784,-7.34595636,1561,1825,13,140,1910,6031,517,1517,249,3786,6090,1179
Multyfarnham,Westmeath Division,+53.62422726,-7.39232752,31,50,0,2,146,265,6,26,3,91,51,2
Murroe,Limerick Division,+52.64968265,-8.39918481,52,32,0,2,121,330,15,42,12,156,82,32
Myshall,Kilkenny/Carlow Division,+52.68752309,-6.77844087,40,34,0,4,92,130,5,16,4,57,26,9
Na Cealla Beaga,Donegal Division,+54.63659931,-8.44439945,175,114,0,2,100,203,52,131,19,148,661,15
Na Gleannta,Donegal Division,+54.79554791,-8.28098241,158,90,0,0,43,130,15,37,17,126,1249,33
Naas,Kildare Division,+53.21072052,-6.66601245,1375,1837,11,195,3418,8813,677,4360,209,3615,4418,1207
Navan,Meath Division,+53.65451708,-6.690423,1094,1546,9,200,2517,7158,370,1049,260,2918,3590,1007
Nenagh,Tipperary Division,+52.86427531,-8.19957615,606,911,5,23,757,2033,162,874,129,858,2099,260
New Ross,Wexford Division,+52.38756671,-6.95080389,709,621,3,29,1081,1890,175,539,89,1303,1907,162
Newbridge,Kildare Division,+53.18143213,-6.79553175,1194,915,9,184,2380,4654,291,1085,152,2050,2631,165
Newcastle West,Limerick Division,+52.45374851,-9.06239228,605,475,4,29,613,1761,140,268,90,1094,1463,295
Newmarket,Cork West Division,+52.21457529,-8.99698435,135,128,0,5,148,306,32,88,10,171,480,9
Newmarket on Fergus,Clare Division,+52.76317352,-8.89911552,105,88,0,3,96,315,16,77,8,150,214,24
Newport Co Mayo,Mayo Division,+53.89016917,-9.54668972,52,74,0,2,105,213,18,31,10,123,118,11
Newport Co Tipperary,Tipperary Division,+52.71068795,-8.40628361,83,119,0,7,224,538,27,100,20,215,204,29
Newtowncunningham,Donegal Division,+54.99759493,-7.50779468,177,125,0,16,184,355,12,53,17,358,223,43
Newtownmountkennedy,Wicklow Division,+53.09689269,-6.1094458,188,145,0,14,662,728,41,184,47,440,257,31
Nobber,Meath Division,+53.82095589,-6.74664422,101,80,0,6,364,437,12,40,7,161,85,11
Oldcastle,Meath Division,+53.76927743,-7.16192981,197,140,2,13,270,505,38,56,16,283,258,18
Omeath,Louth Division,+54.08653598,-6.25630574,39,34,0,7,146,348,12,15,6,250,120,11
Oola,Limerick Division,+52.52998818,-8.25967971,21,25,0,1,63,98,8,29,6,58,19,3
Oughterard,Galway Division,+53.42735409,-9.32453867,82,51,0,0,120,267,16,22,1,149,112,16
Oulart,Wexford Division,+52.50333958,-6.39132982,84,69,0,3,192,263,18,26,9,136,60,6
Oylegate,Wexford Division,+52.42408499,-6.52961073,54,98,0,1,194,200,7,40,8,104,82,5
Pallasgreen,Limerick Division,+52.56874544,-8.33817527,51,56,1,3,128,273,28,52,7,140,84,9
Pallaskenry,Limerick Division,+52.64054705,-8.86653771,78,64,0,6,132,378,9,29,6,149,109,15
Partry,Mayo Division,+53.69867976,-9.27959393,36,72,0,0,87,175,9,3,6,64,52,3
Passage East,Waterford Division,+52.23917975,-6.97280987,23,41,1,3,94,197,3,42,7,80,44,1
Passage West,Cork City Division,+51.86518385,-8.33174357,256,113,0,4,182,565,21,128,12,563,345,40
Patrickswell,Limerick Division,+52.59574933,-8.71294599,136,120,2,12,291,691,33,43,15,320,146,28
Pearse Street,D.M.R. South Central Division,+53.34570251,-6.25627546,6094,1781,30,2314,7732,62793,3514,4597,1355,7169,32894,1807
Pettigo,Donegal Division,+54.54823145,-7.83487803,21,6,0,0,29,55,3,6,1,33,31,2
Piltown,Kilkenny/Carlow Division,+52.34982337,-7.32547567,60,61,2,8,173,211,10,77,11,121,95,6
Portarlington,Laois/Offaly Division,+53.15916285,-7.18780055,476,399,4,42,946,1742,110,415,83,931,841,111
Portlaoise,Laois/Offaly Division,+53.03165180,-7.30307897,1449,1345,8,126,1918,6616,450,2066,176,2738,3384,812
Portlaw,Waterford Division,+52.28626025,-7.31760481,109,66,2,6,108,213,8,94,12,194,169,9
Portmagee,Kerry Division,+51.88515908,-10.36177287,39,31,0,0,21,63,3,17,0,61,41,14
Portroe,Tipperary Division,+52.88190621,-8.35367667,20,28,0,0,66,115,2,36,2,39,68,0
Portumna,Galway Division,+53.09000981,-8.22042379,106,79,0,4,222,481,31,43,8,194,184,22
Raheny,D.M.R. Northern Division,+53.37898567,-6.17798495,603,560,4,404,2179,4470,290,943,193,2706,1924,212
Ramelton,Donegal Division,+55.03665206,-7.65072118,111,98,1,1,43,129,14,30,13,138,175,7
Raphoe,Donegal Division,+54.87440272,-7.59436744,340,119,4,12,217,394,31,29,17,394,277,20
Rathangan,Kildare Division,+53.22212171,-6.99754565,218,56,1,10,353,660,18,37,15,352,259,12
Rathcoole,D.M.R. Western Division,+53.28179292,-6.46471582,304,444,3,137,1415,3598,155,245,75,1194,732,56
Rathcormac Co Cork,Cork North Division,+52.07608200,-8.28432755,70,147,0,3,149,306,36,169,19,146,173,19
Rathdowney,Laois/Offaly Division,+52.85671581,-7.59783474,114,86,0,5,236,319,17,33,9,169,195,8
Rathdrum,Wicklow Division,+52.93099547,-6.22650686,161,142,0,21,449,1036,29,161,40,456,251,19
Rathfarnham,D.M.R. Southern Division,+53.29738741,-6.28815433,1323,1296,13,487,5681,11222,648,2930,279,5464,5129,494
Rathgormack,Waterford Division,+52.30745435,-7.50376703,35,24,0,0,69,128,4,9,2,69,19,2
Rathkeale,Limerick Division,+52.52336863,-8.93903035,258,226,2,10,413,600,46,70,41,485,476,103
Rathmines,D.M.R. Southern Division,+53.32131773,-6.2670105,999,608,10,349,3999,9706,572,1763,178,3876,3860,260
Rathmore Co Kerry,Kerry Division,+52.08427376,-9.21423042,89,126,0,0,153,252,15,44,6,146,185,5
